Month	Primary Energy Consumed by the Residential Sector	Total Energy Consumed by the Residential Sector	Primary Energy Consumed by the Commercial Sector	Total Energy Consumed by the Commercial Sector	Primary Energy Consumed by the Industrial Sector	Total Energy Consumed by the Industrial Sector	Primary Energy Consumed by the Transportation Sector	Total Energy Consumed by the Transportation Sector	Primary Energy Consumed by the Electric Power Sector	Energy Consumption Balancing Item	Primary Energy Consumption Total
1993 July	295.573	1468.013	201.623	1175.633	1752.225	2735.59	1928.844	1933.656	3134.628	3.784	7316.676
1993 August	292.318	1455.818	197.093	1164.354	1795.367	2776.513	1935.789	1940.623	3116.742	3.728	7341.037
1993 September	305.347	1230.444	198.632	1032.291	1808.04	2673.759	1881.522	1885.927	2628.879	0.001	6822.421
1993 October	408.107	1188.889	241.173	1038.738	1934.488	2835.972	1925.623	1930.092	2484.3	-2.088	6991.603
1993 November	633.591	1448.568	344.662	1114.352	1906.391	2816.014	1907.383	1911.722	2498.63	-1.55	7289.107
1993 December	915.88	1901.625	473.794	1285.127	1919.389	2830.549	2005.457	2009.957	2712.737	-1.394	8025.864
1994 January	1190.852	2341.904	609.165	1443.088	2038.919	2931.488	1872.109	1876.784	2882.22	0.211	8593.475
1994 February	1051.467	1982.766	553.53	1289.003	1872.179	2681.875	1794.284	1798.498	2480.682	-2.279	7749.864
1994 March	827.057	1708.91	453.943	1234.261	1886.496	2777.396	1949.654	1954.092	2557.508	-2.341	7672.318
1994 April	553.874	1308.67	320.101	1073.526	1802.589	2680.117	1923.469	1927.673	2389.952	-2.807	6987.179
1994 May	403.169	1168.493	242.78	1049.9	1756.943	2710.079	1963.532	1967.951	2530	-1.889	6894.535
1994 June	302.71	1280.655	209.56	1155.114	1772.481	2783.023	1943.784	1948.788	2939.045	2.892	7170.472
1994 July	275.669	1441.037	204.48	1184.238	1815.097	2792.118	1973.195	1978.222	3127.173	3.564	7399.179
1994 August	280.327	1371.345	200.158	1168.786	1856.282	2868.588	2064.188	2069.175	3076.939	3.539	7481.432
1994 September	285.829	1178.574	194.846	1047.28	1843.752	2760.146	1899.076	1903.581	2666.078	0.463	6890.044
1994 October	389.676	1169.459	243.451	1062.609	1928.498	2867.165	1976.576	1981.137	2542.169	-1.17	7079.2
1994 November	566.447	1353.297	327.575	1115.7	1859.139	2786.976	1899.306	1903.787	2507.293	-3.164	7156.597
1994 December	850.003	1802.854	457.017	1276.567	1958.893	2880.897	2050.822	2055.432	2699.016	-2.717	8013.033
1995 January	1028.89	2087.708	540.117	1378.955	1931.635	2828.324	1930.551	1935.088	2798.883	-0.762	8229.313
1995 February	960.21	1867.027	521.72	1282.262	1824.276	2653.638	1798.091	1802.265	2500.895	-2.034	7603.159
1995 March	787.364	1659.634	438.607	1246.917	1897.586	2807.906	2033.304	2037.699	2595.295	-2.767	7749.39
1995 April	589.657	1337.887	341.68	1116.773	1845.403	2738.669	1919.432	1923.614	2420.771	-3.04	7113.902
1995 May	415.826	1216.792	257.37	1103.473	1849.675	2822.138	2013.352	2017.789	2623.97	-1.364	7158.828
1995 June	306.99	1256.589	204.454	1137.746	1816.852	2804.624	2033.541	2038.244	2875.365	2.137	7239.339
1995 July	271.295	1494.526	197.055	1260.309	1869.387	2888.652	1979.125	1984.222	3310.846	6.147	7633.855
1995 August	260.807	1593.848	201.419	1284.173	1929.732	2977.569	2057.906	2063.092	3468.818	7.198	7925.88
1995 September	281.908	1264.35	204.565	1100.245	1899.201	2799.255	1974.91	1979.645	2782.912	0.667	7144.162
1995 October	375.285	1193.992	248.141	1125.172	1938.518	2879.931	2029.637	2034.249	2641.763	-0.27	7233.074
1995 November	673.312	1525.023	396.497	1231.786	1922.288	2837.931	1983.283	1987.801	2607.161	-1.846	7580.696
1995 December	982.897	2025.096	548.919	1423.772	1993.522	2923.71	2042.728	2047.36	2851.871	-0.919	8419.018
1996 January	1172.45	2360.113	605.481	1483.063	2046.256	2952.553	1984.184	1988.694	2976.053	-0.865	8783.559
1996 February	1057.035	2074.385	559.512	1375.364	1883.405	2756.669	1902.454	1906.704	2710.716	-2.074	8111.049
1996 March	912.159	1867.533	491.53	1333.552	2019.268	2951.015	2045.642	2049.95	2733.451	-2.824	8199.226
1996 April	647.999	1457.257	371.094	1164.674	1855.668	2746.874	1998.96	2003.115	2498.199	-3.098	7368.821
1996 May	430.91	1307.598	258.456	1176.779	1872.857	2892.031	2088.976	2093.638	2818.848	-0.427	7469.619
1996 June	314.877	1352.374	206.255	1187.625	1889.422	2899.163	2006.725	2011.443	3033.326	2.047	7452.652
1996 July	273.128	1498.558	197.781	1246.571	1899.277	2922.282	2088.028	2092.904	3302.101	4.515	7764.83
1996 August	271.785	1472.285	196.126	1254.853	1963.807	2996.359	2142.976	2147.911	3296.713	5.206	7876.614
1996 September	294.056	1265.879	198.916	1128.425	1869.065	2806.888	1945.802	1950.598	2843.951	1.787	7153.578
1996 October	419.639	1251.343	258.983	1150.564	2098.291	3076.259	2141.226	2145.758	2705.786	0.633	7624.558
1996 November	709.203	1585.844	400.812	1263.496	1998.079	2951.739	1997.453	2001.908	2697.44	0.007	7802.993
1996 December	961.326	2003.324	528.618	1411.293	2013.227	2952.408	2042.038	2046.559	2868.374	-0.591	8412.993
1997 January	1140.688	2297.663	603.171	1526.831	2098.732	3014.248	1988.38	1992.845	3000.615	0.065	8831.651
1997 February	952.42	1880.264	524.54	1330.496	1872.752	2713.103	1869.364	1873.402	2578.19	-2.762	7794.504
1997 March	788.591	1693.385	456.724	1329.049	1984.405	2909.561	2059.671	2063.87	2706.475	-3.345	7992.52
1997 April	599.112	1388.352	357.156	1196.166	1966.169	2880.86	2065.03	2069.13	2547.041	-3.643	7530.864
1997 May	431.927	1243.872	280.125	1187.322	1942.997	2935.632	2113.605	2118.007	2716.18	-0.547	7484.286
1997 June	307.741	1268.436	228.398	1241.802	1880.338	2906.262	2049.335	2054.017	3004.705	2.735	7473.251
1997 July	272.8	1556.227	221.399	1369.906	1955.188	2995.859	2166.099	2171.238	3477.746	5.588	8098.819
1997 August	266.344	1485.087	216.192	1304.223	1961.765	3003.847	2114.617	2119.568	3353.807	4.813	7917.538
1997 September	278.238	1299.844	217.088	1222.398	1911.427	2883.226	2007.092	2011.9	3003.522	2.647	7420.015
1997 October	390.461	1297.096	269.047	1230.45	2072.772	3033.085	2117.78	2122.471	2833.043	1.488	7684.591
1997 November	665.055	1543.166	394.616	1281.734	1968.437	2905.351	2023.939	2028.354	2706.556	-1.263	7757.341
1997 December	937.324	2008.955	527.147	1464.78	2070.035	3014.372	2121.993	2126.495	2958.102	0.36	8614.962
1998 January	1013.547	2130.876	558.247	1486.869	2042.784	2946.389	2049.734	2054.198	2954.019	-2.148	8616.184
1998 February	867.119	1770.686	487.554	1316.154	1833.079	2699.082	1867.182	1871.07	2602.058	-4.2	7652.792
1998 March	832.571	1793.397	464.565	1385.501	1959.679	2908.178	2089.947	2094.313	2834.626	-3.725	8177.663
1998 April	557.546	1362.054	336.113	1206.867	1894.938	2813.01	2137.183	2141.274	2597.424	-5.167	7518.038
1998 May	370.479	1286.09	249.12	1265.759	1874.691	2934.094	2093.272	2097.981	2996.362	-1.36	7582.564
1998 June	290.691	1439.549	209.679	1318.056	1812.521	2864.596	2091.824	2096.738	3314.226	3.583	7722.523
1998 July	266.17	1679.462	213.722	1406.004	1939.423	2976.622	2210.475	2215.436	3647.734	6.664	8284.188
1998 August	255.129	1616.22	216.415	1397.249	1975.823	3035.089	2173.593	2178.677	3606.275	6.464	8233.699
1998 September	247.526	1393.639	205.257	1281.924	1899.581	2864.809	2073.406	2078.425	3193.026	3.46	7622.257
1998 October	354.731	1282.377	251.936	1221.426	1994.423	2938.067	2172.029	2176.52	2845.272	-1.649	7616.742
1998 November	552.326	1372.225	345.453	1250.651	1899.882	2831.826	2057.8	2062.306	2661.546	-3.03	7513.978
1998 December	803.191	1833.041	466.921	1432.067	2048.437	3021.139	2188.595	2193.103	2972.205	-2.261	8477.089
1999 January	1134.478	2368.786	591.041	1575.934	1989.36	2912.179	2058.152	2062.774	3146.643	-0.287	8919.388
1999 February	885.88	1829.531	503.708	1402.68	1786.923	2673.364	1908.937	1913.255	2733.381	-2.439	7816.391
1999 March	867.057	1879.336	485.983	1449.17	1911.981	2882.981	2163.51	2168.144	2951.101	-1.905	8377.726
1999 April	577.405	1450.178	338.199	1278.828	1853.527	2822.622	2111.064	2115.522	2786.954	-2.961	7664.188
1999 May	379.616	1288.428	245.358	1273.657	1824.584	2878.792	2185.447	2190.33	2996.202	-0.467	7630.74
1999 June	301.292	1411.658	212.015	1336.758	1833.622	2889.699	2165.237	2170.275	3296.222	4.148	7812.537
1999 July	269.885	1711.604	201.793	1463.593	1870.685	2959.078	2230.882	2236.483	3797.512	6.991	8377.75
1999 August	264.025	1675.504	207.138	1409.925	1979.59	3037.744	2251.081	2256.303	3677.642	6.286	8385.762
1999 September	281.889	1364.217	204.793	1240.103	1961.814	2905.751	2101.716	2106.497	3066.356	2.361	7618.928
1999 October	398.085	1281.494	258.843	1248.236	1979.208	2939.973	2248.834	2253.54	2838.272	-0.519	7722.724
1999 November	542.056	1386.027	329.838	1250.147	1930.512	2884.068	2119.512	2124.013	2722.337	-2.39	7641.865
1999 December	870.941	1912.211	475.01	1446.724	2026.784	2971.687	2347.876	2352.309	2962.321	-2.528	8680.404
2000 January	1098.095	2347.879	572.95	1621.327	1924.614	2906.118	2075.744	2080.72	3284.641	-0.408	8955.636
2000 February	985.175	2050.595	529.993	1489.02	1883.649	2799.341	2070.134	2074.715	2944.72	-1.812	8411.858
2000 March	740.199	1707.398	445.012	1462.639	1921.064	2930.012	2201.012	2205.765	2998.527	-2.494	8303.319
2000 April	564.463	1429.03	338.639	1315.26	1800.538	2780.906	2152.72	2157.252	2826.088	-3.94	7678.507
2000 May	382.12	1381.628	257.49	1395.197	1923.368	3009.151	2244.455	2249.742	3228.283	-0.617	8035.1
2000 June	299.545	1481.236	217.526	1389.751	1867.108	2914.794	2218.326	2223.546	3406.821	2.794	8012.12
2000 July	272.386	1627.582	207.632	1429.458	1855.505	2875.17	2298.602	2304.03	3602.115	3.511	8239.752
2000 August	286.165	1679.841	233.387	1496.049	1975.103	3037.25	2328.54	2334.193	3724.138	5.087	8552.419
2000 September	297.206	1412.7	225.341	1294.643	1890.702	2821.758	2166.361	2171.46	3120.952	1.351	7701.913
2000 October	409.346	1326.809	265.485	1281.203	1931.153	2875.938	2280.866	2285.675	2882.775	0.721	7770.346
2000 November	664.003	1580.542	384.832	1376.899	1873.386	2824.306	2163.785	2168.529	2864.27	-1.09	7949.186
2000 December	1157.586	2389.091	600.103	1624.966	1976.723	2893.446	2294.903	2299.664	3177.852	-0.808	9206.358
2001 January	1218.395	2566.678	628.864	1686.892	1948.827	2835.438	2142.187	2147.257	3297.992	-0.358	9235.907
2001 February	980.663	2014.719	528.728	1457.401	1772.06	2624.241	1982.363	1986.941	2819.488	-3.766	8079.536
2001 March	887.173	1915.611	479.995	1504.44	1907.453	2833.69	2228.042	2233.034	2984.113	-4.586	8482.19
2001 April	572.001	1466.149	342.521	1309.967	1813.845	2706.016	2165.305	2170.036	2758.496	-4.727	7647.44
2001 May	354.199	1282.632	234.636	1326.472	1786.361	2763.873	2261.279	2266.559	3003.061	-1.698	7637.838
2001 June	289.886	1413.452	205.359	1389.716	1704.889	2668.884	2182.896	2188.426	3277.448	0.827	7661.305
2001 July	275.799	1643.543	205.782	1469.334	1765.313	2707.709	2323.361	2328.954	3579.287	3.997	8153.538
2001 August	269.558	1711.555	208.586	1500.517	1833.242	2801.938	2288.294	2294.261	3708.59	4.514	8312.785
2001 September	272.446	1369.803	212.44	1319.726	1743.558	2599.348	2114.666	2120.242	3066.009	0.626	7409.744
2001 October	400.724	1330.913	265.935	1339.023	1901.226	2806.512	2246.752	2252.048	2913.858	-1.589	7726.907
2001 November	532.982	1416.505	317.381	1321.597	1809.447	2682.585	2128.54	2133.566	2765.903	-0.655	7553.598
2001 December	811.002	1899.668	454.668	1518.451	1806.152	2688.613	2155.71	2160.812	3040.013	1.336	8268.88
2002 January	1030.448	2293.562	544.006	1574.84	1920.175	2765.628	2161.984	2166.732	3144.149	-0.177	8800.585
2002 February	902.623	1915.636	494.285	1424.01	1712.731	2531.375	1992.163	1996.617	2765.836	-2.411	7865.227
2002 March	849.593	1904.414	465.345	1475.193	1850.537	2740.942	2246.021	2250.726	2959.779	-2.042	8369.232
2002 April	564.095	1507.436	340.441	1349.541	1801.431	2693.333	2213.875	2218.591	2849.06	-2.118	7766.783
2002 May	403.708	1386.234	262.012	1354.566	1817.797	2768.157	2295.717	2300.758	3030.481	-0.596	7809.118
2002 June	298.147	1517.187	210.813	1398.823	1760.491	2720.375	2253.951	2259.308	3372.291	2.847	7898.54
2002 July	267.945	1768.536	206.169	1496.608	1845.103	2834.196	2324.189	2329.751	3785.686	5.719	8434.812
2002 August	261.25	1733.821	205.757	1466.517	1834.54	2802.108	2341.599	2347.156	3706.457	4.876	8354.479
2002 September	267.933	1486.413	209.3	1364.543	1760.081	2647.342	2163.68	2168.908	3266.213	2.306	7669.512
2002 October	416.966	1422.738	278.951	1397.952	1831.015	2724.57	2262.078	2267.277	3023.527	-1.4	7811.137
2002 November	657.761	1642.827	385.008	1428.23	1839.699	2723.658	2224.577	2229.453	2917.122	-1.699	8022.469
2002 December	987.067	2205.682	530.228	1615.23	1824.256	2710.403	2305.392	2310.456	3194.826	-0.187	8841.583
2003 January	1205.679	2568.58	653.061	1733.942	1891.22	2777.663	2153.542	2160.168	3336.852	1.237	9241.591
2003 February	1101.784	2253.935	597.858	1545.429	1793.267	2619.095	2016.519	2022.197	2931.227	-2.321	8438.334
2003 March	877.733	1956.303	494.787	1497.723	1811.073	2696.779	2235.682	2241.901	2973.431	-3.023	8389.684
2003 April	582.221	1489.746	348.455	1323.803	1763.593	2666.87	2192.052	2197.701	2791.799	-3.658	7674.461
2003 May	398.63	1385.594	255.969	1333.019	1730.779	2681.94	2264.136	2270.27	3021.309	-1.008	7669.815
2003 June	298.104	1428.221	207.275	1349.905	1680.642	2642.546	2220.802	2226.906	3240.755	0.655	7648.233
2003 July	274.527	1711.138	209.144	1475.999	1801.581	2766.098	2315.087	2321.35	3674.245	3.679	8278.264
2003 August	267.023	1737.115	207.866	1478.509	1796.151	2785.953	2385.523	2391.982	3736.996	4.845	8398.404
2003 September	290.617	1463.505	217.293	1314.189	1750.48	2633.188	2195.01	2201.05	3158.531	1.156	7613.088
2003 October	400.839	1366.602	262.703	1338.781	1828.595	2764.247	2314.51	2320.763	2983.746	-0.807	7789.586
2003 November	581.25	1543.615	342.365	1370.763	1777.663	2701.217	2222.298	2228.4	2920.419	-1.415	7842.581
2003 December	955.312	2209.085	502.057	1587.149	1907.922	2820.253	2310.893	2317.49	3257.793	-0.513	8933.463
2004 January	1203.173	2596.092	634.75	1722.613	1915.632	2801.243	2230.64	2237.553	3373.306	0.609	9358.11
2004 February	1069.55	2266.846	590.821	1588.114	1862.066	2710.21	2169.959	2176.606	3049.38	-0.907	8740.869
2004 March	778.861	1840.014	453.96	1476.33	1896.893	2790.534	2328.568	2334.745	2983.341	-3.7	8437.922
2004 April	546.497	1457.74	340.07	1338.353	1831.203	2721.018	2280.985	2287.102	2805.456	-4.072	7800.14
2004 May	361.178	1395.148	247.372	1398.677	1841.877	2834.649	2339.941	2346.446	3184.553	-1.083	7973.837
2004 June	290.228	1517.292	211.809	1392.855	1811.514	2758.912	2312.84	2319.206	3361.874	0.859	7989.124
2004 July	272.178	1697.953	204.497	1477.998	1852.682	2828.293	2399.02	2405.931	3681.799	2.982	8413.157
2004 August	272.875	1649.098	206.214	1452.124	1881.422	2855.053	2396.802	2403.447	3602.409	2.11	8361.832
2004 September	269.709	1464.607	204.556	1370.284	1812.596	2727.55	2268.423	2274.953	3282.11	0.452	7837.846
2004 October	380.406	1391.775	257.168	1364.404	1888.324	2811.824	2383.366	2389.847	3048.587	-1.772	7956.079
2004 November	580.695	1565.647	347.999	1400.002	1870.143	2795.116	2291.989	2298.251	2968.19	-1.456	8057.561
2004 December	961.565	2237.626	533.061	1675.016	1946.802	2881.444	2361.431	2368.673	3359.899	0.459	9163.218
2005 January	1124.979	2494.866	587.1	1689.918	1912.107	2811.33	2290.415	2297.928	3379.442	1.229	9295.271
2005 February	959.853	2075.177	516.756	1491.861	1762.78	2588.136	2129.801	2136.653	2922.635	-0.972	8290.854
2005 March	876.745	1997.097	477.362	1542.362	1918.903	2814.458	2374.425	2381.074	3087.555	-1.047	8733.944
2005 April	539.999	1462.781	321.708	1326.295	1744.615	2621.02	2309.76	2316.036	2810.048	-4.364	7721.767
2005 May	400.636	1385.324	248.012	1371.499	1797.612	2765.036	2419.103	2425.441	3081.936	-1.15	7946.15
2005 June	303.902	1593.954	211.575	1473.678	1785.679	2759.439	2343.95	2350.806	3532.77	1.68	8179.556
2005 July	275.123	1869.965	201.244	1548.384	1737.788	2713.458	2447.356	2454.145	3924.443	3.236	8589.189
2005 August	272.873	1867.102	204.523	1554.92	1807.835	2790.342	2473.514	2480.751	3934.368	2.729	8695.842
2005 September	259.678	1567.291	196.118	1400.388	1635.367	2537.209	2282.835	2289.397	3420.286	0.25	7794.535
2005 October	356.943	1429.712	238.422	1371.664	1704.208	2601.154	2380.702	2387.074	3109.33	-0.964	7788.64
2005 November	549.833	1550.588	323.017	1401.406	1757.528	2669.06	2320.166	2326.578	2997.089	-1.011	7946.622
2005 December	981.564	2320.494	526.904	1680.374	1845.395	2769.837	2427.073	2434.428	3424.196	0.21	9205.342
2006 January	899.165	2172.18	496.173	1573.768	1858.101	2723.538	2346.116	2352.978	3222.909	0.243	8822.707
2006 February	891.228	2001.032	490.477	1506.857	1693.772	2545.494	2138.728	2145.259	2984.437	-0.902	8197.739
2006 March	808.075	1924.314	447.166	1522.567	1842.483	2728.028	2412.616	2419.376	3083.945	-1.634	8592.651
2006 April	499.436	1459.096	296.735	1333.459	1700.156	2577.376	2343.752	2350.051	2879.903	-2.542	7717.441
2006 May	339.357	1385.741	228.316	1413.201	1768.689	2728.011	2432.144	2438.571	3197.017	-1.217	7964.307
2006 June	265.822	1565.752	196.891	1463.672	1768.836	2716.633	2399.806	2406.472	3521.174	0.599	8153.129
2006 July	242.658	1858.417	184.331	1561.056	1732.707	2707.392	2503.262	2510.141	3974.049	2.97	8639.977
2006 August	236.564	1842.569	189.887	1556.061	1845.546	2811.784	2518.346	2525.087	3945.157	3.367	8738.867
2006 September	250.635	1427.789	195.63	1354.108	1796.391	2672.258	2332.72	2338.96	3217.739	-0.201	7792.913
2006 October	374.784	1398.74	255.958	1415.6	1857.418	2765.317	2443.252	2449.661	3097.905	-1.883	8027.434
2006 November	555.19	1583.765	329.989	1426.462	1826.337	2701.023	2319.353	2325.668	3006.05	-0.865	8036.053
2006 December	792.123	2049.807	436.01	1581.933	1838.315	2713.439	2447.532	2454.401	3285.599	1.68	8801.26
2007 January	994.624	2369.767	526.236	1697.019	1894.341	2798.594	2352.768	2361.171	3458.582	1.128	9227.679
2007 February	1093.663	2359.349	574.992	1624.899	1778.255	2595.116	2172.843	2180.333	3139.945	-0.273	8759.424
2007 March	800.581	1924.625	447.107	1538.666	1819.232	2697.481	2398.622	2406.523	3101.754	-2.636	8564.659
2007 April	545.943	1510.794	324.783	1404.725	1754.55	2645.439	2360.978	2367.881	2942.583	-2.645	7926.193
2007 May	336.882	1392.516	223.892	1412.81	1783.538	2738.986	2474.777	2481.473	3206.697	-1.766	8024.019
2007 June	259.885	1538.86	191.583	1469.842	1706.774	2660.655	2423.21	2430.453	3518.359	0.593	8100.403
2007 July	241.871	1749.417	179.941	1523.707	1728.391	2693.655	2516.884	2524.202	3823.894	2.671	8493.652
2007 August	243.434	1885.483	188.491	1615.831	1769.277	2776.98	2533.896	2541.263	4084.46	3.523	8823.081
2007 September	246.827	1564.355	188.177	1407.906	1725.389	2614.792	2348.888	2355.872	3433.645	0.686	7943.611
2007 October	317.25	1400.857	227.172	1422.814	1781.151	2709.58	2436.125	2442.93	3214.485	-1.392	7974.79
2007 November	572.121	1594.149	341.359	1456.083	1770.976	2678.053	2350.44	2357.614	3051.002	-0.957	8084.941
2007 December	936.771	2231.841	509.074	1677.299	1850.646	2774.171	2401.271	2408.587	3394.137	0.382	9092.28
2008 January	1115.37	2544.297	593.182	1761.679	1932.727	2822.972	2284.454	2291.891	3495.107	1.432	9422.272
2008 February	1037.938	2262.702	568.996	1647.508	1775.989	2617.794	2126.212	2133.031	3151.9	-0.196	8660.839
2008 March	850.853	1991.718	474.493	1574.606	1801.385	2690.315	2335.409	2342.119	3136.619	-1.851	8596.907
2008 April	544.731	1523.559	328.574	1406.399	1713.841	2602.712	2307.368	2313.894	2952.049	-2.76	7843.803
2008 May	370.708	1385.154	242.638	1424.549	1728.108	2695.459	2393.083	2399.614	3170.238	-1.906	7902.87
2008 June	284.226	1622.869	198.081	1514.634	1653.261	2615.243	2288.095	2294.932	3624.014	0.829	8048.507
2008 July	259.636	1812.689	191.21	1580.397	1687.108	2647.351	2373.607	2380.642	3909.519	2.722	8423.802
2008 August	247.691	1731.06	187.29	1517.841	1654.816	2603.503	2362.716	2369.668	3769.558	1.349	8223.42
2008 September	242.777	1439.598	186.235	1395.433	1501.692	2379.903	2136.369	2142.798	3290.657	0.124	7357.855
2008 October	362.992	1375.958	252.406	1420.717	1771.949	2659.006	2332.027	2338.746	3075.053	-3.852	7790.575
2008 November	592.575	1629.655	351.314	1460.39	1665.774	2527.119	2191.602	2198.214	3014.114	0.262	7815.641
2008 December	980.523	2349.997	525.874	1698.347	1640.931	2470.835	2273.389	2280.675	3379.137	4.38	8804.234
2009 January	1148.854	2608.311	629.311	1803.949	1707.29	2510.604	2203.832	2212.07	3445.647	1.164	9136.098
2009 February	931.572	2099.052	522.015	1525.32	1537.247	2260.34	1991.69	1998.485	2900.672	-2.766	7880.431
2009 March	774.709	1895.837	451.644	1530.21	1592.969	2373.761	2253.552	2260.681	2987.615	-3.752	8056.737
2009 April	539.365	1504	324.255	1374.93	1475.001	2247.868	2215.675	2222.13	2794.631	-0.845	7348.083
2009 May	332.273	1367.35	227.714	1382.414	1474.48	2299.261	2238.622	2245.22	3021.154	0.165	7294.409
2009 June	264.125	1521.458	192.044	1454.179	1487.186	2319.002	2240.856	2247.589	3358.016	1.867	7544.095
2009 July	249.566	1705.406	190.808	1475.386	1507.493	2337.502	2294.045	2301.099	3577.481	3.482	7822.874
2009 August	247.764	1711.817	194.109	1505.151	1552.459	2423.113	2320.826	2327.674	3652.597	2.956	7970.712
2009 September	257.132	1417.508	199.58	1357.304	1540.917	2345.614	2152.554	2158.965	3129.208	-0.459	7278.932
2009 October	398.502	1411.701	268.312	1383.924	1601.132	2417.953	2263.042	2269.209	2951.798	-1.794	7480.993
2009 November	529.164	1521.298	323.683	1378.455	1586.851	2393.53	2157.886	2164.178	2859.875	-1.292	7456.168
2009 December	961.034	2315.362	532.487	1717.153	1692.32	2534.477	2272.269	2279.755	3388.637	1.296	8848.043
2010 January	1132.784	2680.959	613.298	1748.143	1721.152	2514.121	2159.166	2166.612	3483.437	4.1	9113.936
2010 February	976.985	2241.697	544.688	1581.937	1625.464	2389.301	1976.629	1983.648	3072.818	0.814	8197.397
2010 March	731.239	1880.661	417.293	1463.498	1771.508	2576.783	2259.276	2265.969	3007.594	-1.504	8185.406
2010 April	434.891	1342.969	276.49	1305.69	1643.415	2454.276	2246.62	2252.756	2754.274	-2.866	7352.825
2010 May	324.45	1381.695	225.234	1408.769	1635.925	2551.276	2311.022	2317.713	3162.822	-0.702	7658.751
2010 June	264.059	1655.149	197.236	1499.828	1633.481	2543.007	2282.213	2289.332	3610.327	2.385	7989.701
2010 July	236.95	1885.631	181.704	1545.125	1645.734	2559.597	2362.299	2369.346	3933.012	4.167	8363.866
2010 August	228.837	1851.688	185.988	1546.67	1728.926	2655.18	2361.552	2368.109	3916.344	3.833	8425.48
2010 September	233.987	1490.556	188.371	1390.01	1688.887	2529.974	2258.975	2265.361	3305.68	-0.598	7675.303
2010 October	337.938	1325.861	254.676	1362.89	1665.711	2504.382	2291.552	2297.788	2941.042	-1.947	7488.973
2010 November	593.418	1590.926	362.115	1449.054	1691.932	2544.339	2190.837	2197.273	2943.29	-1.949	7779.643
2010 December	1046.178	2467.092	576.268	1756.881	1825.118	2702.857	2277.555	2285.142	3486.854	1.139	9213.11
2011 January	1150.128	2659.25	630.809	1756.975	1841.806	2675.038	2177.388	2184.779	3475.911	3.04	9279.083
2011 February	932.112	2147.737	526.111	1536.135	1624.547	2397.394	2003.994	2010.438	3004.941	-0.356	8091.349
2011 March	745.545	1847.764	442.835	1538.068	1808.961	2672.577	2262.984	2269.955	3068.039	-1.94	8326.425
2011 April	460.485	1445.944	293.279	1350.301	1640.355	2485.576	2197.955	2204.568	2894.316	-1.103	7485.287
2011 May	315.937	1370.909	219.259	1381.527	1648.501	2534.696	2272.638	2279.318	3110.114	-0.765	7565.684
2011 June	249.044	1599.19	194.542	1460.961	1630.383	2529.656	2279.719	2286.607	3522.727	2.278	7878.692
2011 July	231.568	1904.301	189.122	1573.603	1639.76	2582.965	2295.345	2302.377	4007.452	6.308	8369.555
2011 August	240.826	1841.993	205.848	1553.202	1733.466	2660.257	2326.386	2332.898	3881.823	4.532	8392.881
2011 September	250.265	1466.506	209.895	1378.881	1658.402	2500.248	2196.566	2202.846	3233.353	0.202	7548.683
2011 October	364.418	1337.067	281.534	1398.813	1722.208	2588.905	2233.298	2239.637	2962.963	-1.393	7563.028
2011 November	582.115	1569.717	368.109	1433.387	1755.937	2612.72	2154.52	2160.768	2915.913	-2.005	7774.588
2011 December	870.351	2109.151	501.585	1618.201	1750.773	2602.418	2230.933	2237.913	3214.041	-1.271	8566.412
2012 January	962.122	2260.953	544.474	1630.322	1846.913	2664.138	2103.61	2110.316	3208.61	-0.341	8665.388
2012 February	809.275	1902.125	470.697	1483.637	1733.887	2526.367	2040.998	2047.366	2904.639	-2.531	7956.965
2012 March	538.365	1549.761	337.069	1380.149	1727.084	2554.614	2185.907	2191.983	2888.08	-5.692	7670.813
2012 April	393.801	1288.227	269.554	1295.281	1649.185	2471.8	2158.002	2163.991	2748.757	-5.529	7213.77
2012 May	279.464	1351.567	210.483	1387.839	1698.158	2597.935	2263.294	2269.616	3155.558	-2.121	7604.837
2012 June	235.26	1523.52	190.951	1427.603	1659.65	2535.916	2230.241	2236.5	3407.437	2.853	7726.392
2012 July	220.643	1853.633	184.196	1542.057	1678.637	2600.03	2275.098	2281.744	3918.89	7.776	8285.24
2012 August	228.112	1741.026	200.657	1510.733	1733.382	2634.381	2326.792	2333.261	3730.458	5.086	8224.487
2012 September	230.018	1410.194	200.222	1358.088	1644.868	2459.847	2124.406	2130.499	3159.114	2.696	7361.323
2012 October	355.971	1333.812	273.034	1390.482	1781.009	2620.536	2213.136	2219.199	2940.878	0.037	7564.065
2012 November	608.644	1619.711	376.505	1434.252	1771.604	2592.147	2107.139	2113.056	2895.274	-0.128	7759.038
2012 December	811.169	2029.755	467.738	1578.91	1817.005	2653.243	2115.089	2121.69	3172.598	0.063	8383.661
2013 January	1076.86	2431.704	586.585	1694.116	1875.578	2703.233	2137.442	2144.267	3296.855	-0.506	8972.814
2013 February	935.74	2067.537	527.918	1538.662	1682.432	2449.798	1945.107	1951.699	2916.499	-1.395	8006.301
2013 March	844.66	1997.859	486.888	1556.909	1757.592	2585.476	2227.398	2234.019	3057.725	-1.574	8372.69
2013 April	518.364	1488.394	323.487	1352.954	1676.638	2491.079	2178.909	2185.302	2820.329	-3.813	7513.915
2013 May	324.435	1324.313	229.24	1370.826	1739.781	2631.526	2280.687	2287.276	3039.799	-2.639	7611.303
