CountryCode,SeriesCode,DESCRIPTION
ARG,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ARG,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ARG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ARM,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ARM,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ARM,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ARM,SP.DYN.LE00.IN,Derived using male and female life expectancy
ARM,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ARM,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ARM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ASM,SP.DYN.CBRT.IN,Data sources : United Nations Population and Vital Statistics Report
ASM,SP.DYN.CDRT.IN,Data sources : United Nations Population and Vital Statistics Report
ASM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ATG,SP.DYN.CBRT.IN,Data sources : United Nations Population and Vital Statistics Report
ATG,SP.DYN.CDRT.IN,Data sources : United Nations Population and Vital Statistics Report
ATG,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ATG,SP.DYN.LE00.IN,Derived using male and female life expectancy
ATG,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ATG,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ATG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
AUS,SG.MMR.LEVE.EP,No paid or unpaid maternity leave is available.
AUS,SG.NOD.CONS,There is no nondiscrimination provision.
AUS,SG.OBT.IDCD.MR,There is no national identity card.
AUS,SG.POP.MIGR.FE.ZS,"Includes Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SH.MMR.LEVE,Paid parental leave is available
AUS,SH.MMR.WAGE.ZS,Paid parental leave is available
AUS,SH.XPD.PCAP.PP.KD,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SH.XPD.PUBL.ZS,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SP.ADO.TFRT,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.DYN.CBRT.IN,Data sources : Australian Bureau of Statistics
AUS,SP.DYN.CDRT.IN,Data sources : Australian Bureau of Statistics
AUS,SP.DYN.LE00.FE.IN,Data sources : Australian Bureau of Statistics
AUS,SP.DYN.LE00.IN,Derived using male and female life expectancy
AUS,SP.DYN.LE00.MA.IN,Data sources : Australian Bureau of Statistics
AUS,SP.DYN.TFRT.IN,Data sources : Australian Bureau of Statistics
AUS,SP.POP.0014.TO.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
AUS,SP.POP.1564.TO.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
